行程速比系数	xingchengsubixishu
行程速度变化系数	xingchengsudubianhuaxishu
形封闭凸轮机构	xingfengbitulunjigou
形位公差	xingweigongcha
行星齿轮装置	xingxingchilunzhuangzhi
行星减速器	xingxingjiansuqi
行星轮	xingxinglun
行星轮变速装置	xingxinglunbiansuzhuangzhi
行星轮系	xingxinglunxi
形状公差	xingzhuanggongcha
虚拟现实设计	xunixianshisheji
许用不平衡量	xuyongbupinghengliang
许用压力角	xuyongyalijiao
许用应力	xuyongyingli
虚约束	xuyueshu
悬架	xuanjia
旋向	xuanxiang
旋转式密封	xuanzhuanshimifeng
循环功率流	xunhuangonglvliu
压力角	yalijiao
压模	yamo|yamu
牙嵌式联轴器	yaqianshilianzhouqi
压缩机	yasuoji
牙型	yaxing
摇杆	yaogan
液力传动	yelichuandong
液力偶合器	yeliouheqi
液压泵	yeyabeng
液压传动机构	yeyachuandongjigou
液压机构	yeyajigou
液压驱动泵	yeyaqudongbeng
液压无级变速	yeyawujibiansu
一般化运动链	yibanhuayundonglian
异步电动机	yibudiandongji
移动从动件	yidongcongdongjian
