阿达马变换	adamabianhuan
法伊改正	fayigaizheng
反差	fancha
反差系数	fanchaxishu
反差增强	fanchazengqiang
反立体	fanliti
反立体效应	fanlitixiaoying
反射波谱	fanshebopu
反束光导管摄影机	fanshuguangdaoguansheyingji
范围法	fanweifa
反像	fanxiang
反转片	fanzhuanpian
防波堤	fangbodi
方差	fangcha
方差一协方差传播律	fangchayixiefangchachuanbolv
方差一协方差阵	fangchayixiefangchazhen
方差因子	fangchayinzi
房地产地籍	fangdichandiji
方格法	fanggefa
方格网点	fanggewangdian
方里网	fangliwang
防排水系统图	fangpaishuixitongtu
仿射纠正	fangshejiuzheng
方位角中误差	fangweijiaozhongwucha
方位距离	fangweijuli
方位距离定位方法	fangweijulidingweifangfa
方位距离定位系统	fangweijulidingweixitong
方位圈	fangweiquan
方位投影	fangweitouying
方向附合导线	fangxiangfuhedaoxian
方向观测法	fangxiangguancefa
放样测量	fangyangceliang
非地形摄影测量	feidixingsheyingceliang
飞机场测量	feijichangceliang
飞机洞库测量	feijidongkuceliang
非监督分类	feijiandufenlei
非量测摄影机	feiliangcesheyingji
菲列罗公式	feilieluogongshi
分瓣投影	fenbantouying
分版原图	fenbanyuantu
分层	fenceng
分层色表	fencengsebiao
分层设色法	fencengshesefa
分潮	fenchao
分潮迟角	fenchaochijiao
分潮振幅	fenchaozhenfu
分带纠正	fendaijiuzheng
分带子午线	fendaiziwuxian
分幅	fenfu
分工法测图	fengongfacetu
分类器	fenleiqi
分区量值地图	fenquliangzhiditu
分区密度地图	fenqumiduditu
分区统计图表法	fenqutongjitubiaofa
分区统计图法	fenqutongjitufa
分色	fense
分色参考图	fensecankaotu
分析地图	fenxidetu
缝隙纠正仪	fengxijiuzhengyi
风讯信号杆	fengxunxinhaogan
浮标	fubiao
附参数条件平差	fucanshutiaojianpingcha
复测法	fucefa
浮雕影像地图	fudiaoyingxiangditu
符号化	fuhaohua
负荷潮	fuhechao
附合导线	fuhedaoxian
附合水准路线	fuheshuizhunluxian
附加位	fujiawei
复垦测量	fukenceliang
负片	fupian
辐射校正	fushejiaozheng
辐射三角测量	fushesanjiaoceliang
辐射线格网	fushexiangewang
辐射遥感器	fusheyaoganqi
副台	futai
附条件参数平差	futiaojiancanshupingcha
附条件的间接平差	futiaojiandejianjiepingcha
复照仪	fuzhaoyi
辅助等高线	fuzhudenggaoxian
浮子验潮仪	fuziyanchaoyi
概率判决函数	gailvpanjuehanshu
概然误差	gairanwucha
干出高度	ganchugaodu
干出礁	ganchujiao
干出滩	ganchutan
干出线	ganchuxian
感光	ganguang
感光材料	ganguangcailiao
感光测定	ganguangceding
感光度	ganguangdu
感光特性曲线	ganguangtexingquxian
干涉雷达	gansheleida
感受效果	ganshouxiaoguo
港界	gangjie
港口	gangkou
港口工程测量	gangkougongchengceliang
港湾测量	gangwanceliang
港湾锚地图集	gangwanmaodituji
港湾图	gangwantu
高比	gaobi
高差仪	gaochayi
高潮适淹礁	gaochaoshiyanjiao
高程	gaocheng
高程导线	gaochengdaoxian
高程点	gaochengdian
高程基准	gaochengjizhun
高程控制测量	gaochengkongzhiceliang
高程控制点	gaochengkongzhidian
高程控制网	gaochengkongzhiwang
高程系统	gaochengxitong
高程异常	gaochengyichang
高程中误差	gaochengzhongwucha
高度角	gaodujiao
高密度数字磁带	gaomidushuzicidai
高斯	gaosi
高斯目镜	gaosimujing
高斯平面子午线收敛角	gaosipingmianziwuxianshoulianjiao
高斯平面坐标	gaosipingmianzuobiao
高斯平面坐标系	gaosipingmianzuobiaoxi
高斯投影	gaositouying
高斯投影方向改正	gaositouyingfangxianggaizheng
高斯投影距离改正	gaositouyingjuligaizheng
高斯一克吕格投影	gaosiyikelvgetouying
高斯约化法	gaosiyuehuafa
高斯中纬度公式	gaosizhongweidugongshi
格网单元	gewangdanyuan
根据	genju
根据两个	genjuliangge
跟踪数字化	genzongshuzihua
工厂现状图测量	gongchangxianzhuangtuceliang
工程测量	gongchengceliang
工程测量学	gongchengceliangxue
工程经纬仪	gongchengjingweiyi
工程控制网	gongchengkongzhiwang
工程摄影测量	gongchengsheyingceliang
工程水准仪	gongchengshuizhunyi
公路工程测量	gonglugongchengceliang
功率谱	gonglvpu
共面方程	gongmianfangcheng
共线方程	gongxianfangcheng
工业测量系统	gongyeceliangxitong
工业摄影测量	gongyesheyingceliang
公用事业工程测量	gongyongshiyegongchengceliang
共宗	gongzong
构架航线	goujiahangxian
构像方程	gouxiangfangcheng
古地图	guditu
固定平极	gudingpingji
固定台	gudingtai
固定误差	gudingwucha
固定相移	gudingxiangyi
骨架航线	gujiahangxian
估算测角中误差	gusuancejiaozhongwucha
固体潮	gutichao
固体激光器	gutijiguangqi
观测方程	guancefangcheng
管道测量	guandaoceliang
管道综合图	guandaozonghetu
惯导组合定位系统	guandaozuhedingweixitong
灌溉泵站测量	guangaibengzhanceliang
灌区平面布置图	guanqupingmianbuzhitu
贯通测量	guantongceliang
管线	guanxian
惯性测量系统	guanxingceliangxitong
惯性坐标系	guanxingzuobiaoxi
惯用名	guanyongming
光笔	guangbi
广播星历	guangboxingli
光电测距导线	guangdiancejudaoxian
光电测距仪	guangdiancejuyi
光电等高仪	guangdiandenggaoyi
光电遥感器	guangdianyaoganqi
光电中星仪	guangdianzhongxingyi
光碟	guangdie
光谱感光度	guangpuganguangdu
光谱灵敏度	guangpulingmindu
光圈	guangquan
光圈号数	guangquanhaoshu
光栅	guangshan
光束法空中三角测量	guangshufakongzhongsanjiaoceliang
光性	guangxing
光学	guangxue
光学传递函数	guangxuechuandihanshu
光学对中器	guangxueduizhongqi
光学机械纠正	guangxuejixiejiuzheng
光学机械投影	guangxuejixietouying
光学经纬仪	guangxuejingweiyi
光学纠正	guangxuejiuzheng
光学水准仪	guangxueshuizhunyi
光学条件	guangxuetiaojian
光学投影	guangxuetouying
光学图解纠正	guangxuetujiejiuzheng
光学图像处理	guangxuetuxiangchuli
光学相关	guangxuexiangguan
光学镶嵌	guangxuexiangqian
光学遥感器	guangxueyaoganqi
光学准直	guangxuezhunzhi
轨道坐标系	guidaozuobiaoxi
规划地图	guihuaditu
归化纬度	guihuaweidu
规矩线	guijuxian
龟纹	guiwen
归心改正	guixingaizheng
归心元素	guixinyuansu
国际测绘联合会	guojicehuilianhehui
国际测量师联合会	guojiceliangshilianhehui
国际大地测量协会	guojidadiceliangxiehui
国际大地测量学协会	guojidadiceliangxuexiehui
国际大地测量学与地球物理学	guojidadiceliangxueyudiqiuwulixue
国际地球参考架	guojidiqiucankaojia
国际地球自转服务局	guojidiqiuzizhuanfuwuju
国际地图学协会	guojidituxuexiehui
国际海道测量组织	guojihaidaoceliangzuzhi
国际海图	guojihaitu
国际矿山测量学会	guojikuangshanceliangxuehui
国际摄影测量与遥感学会	guojisheyingceliangyuyaoganxuehui
国际天球参考架	guojitianqiucankaojia
国际协议原点	guojixieyiyuandian
国际原子时	guojiyuanzishi
国际制图协会	guojizhituxiehui
国家地图集	guojiadituji
国家高程基准	guojiagaochengjizhun
国家水准网	guojiashuizhunwang
国土基础信息系统	guotujichuxinxixitong
海岸	haian
海岸地形测量	haiandixingceliang
海岸图	haiantu
海岸线	haianxian
海岸性质	haianxingzhi
海潮模型	haichaomoxing
海道测量	haidaoceliang
海道测量学	haidaoceliangxue
海底地貌	haididimao
海底地貌图	haididimaotu
海底地势图	haididishitu
海底地形测量	haididixingceliang
海底地形图	haididexingtu
海底地质构造图	haididizhigouzaotu
海底电缆	haididianlan
海底管道	haidiguandao
海底控制网	haidikongzhiwang
海底倾斜改正	haidiqingxiegaizheng
海底声标	haidishengbiao
海底施工测量	haidishigongceliang
海底隧道测量	haidisuidaoceliang
