阿二	A Er
沙天江	Sha Tian Jiang
沙通天	Sha Tong Tian
商宝震	Shang Bao Zhen
上官	Shang Guan
上官虹	Shang Guan Hong
上官铁生	Shang Guan Tie Sheng
上官毅山	Shang Guan Yi Shan
上官云	Shang Guan Yun
商老太	Shang Lao Tai
少妇	Shao Fu
邵鹤	Shao He
少林老僧	Shao Lin Lao Seng
邵燕	Shao Yan
射雕英雄传	She Diao Ying Xiong Zhuan
蛇皮张	She Pi Zhang
沈城	Shen Cheng
沈德潜	Shen De Qian
神雕侠侣	Shen Diao Xia Lv
沈青刚	Shen Qing Gang
申人俊	Shen Ren Jun
神山上人	Shen Shan Shang Ren
神音	Shen Yin
神照上人	Shen Zhao Shang Ren
申志凡	Shen Zhi Fan
圣因师太	Sheng Yin Shi Tai
狮鼻子	Shi Bi Zi
史镖头	Shi Biao Tou
史秉光	Shi Bing Guang
史秉文	Shi Bing Wen
史伯威	Shi Bo Wei
施戴子	Shi Dai Zi
史登达	Shi Deng Da
史红石	Shi Hong Shi
史火龙	Shi Huo Long
史季强	Shi Ji Qiang
侍剑	Shi Jian
石骏	Shi Jun
施琅	Shi Lang
室里	Shi Li
施令威	Shi Ling Wei
史孟龙	Shi Meng Long
石破天	Shi Po Tian
石清	Shi Qing
石清露	Shi Qing Lu
石嫂	Shi Sao
史叔刚	Shi Shu Gang
石双英	Shi Shuang Ying
史松	Shi Song
石万嗔	Shi Wan Chen
史小翠	Shi Xiao Cui
史仲俊	Shi Zhong Jun
史仲猛	Shi Zhong Meng
石中玉	Shi Zhong Yu
守备	Shou Bei
瘦丐	Shou Gai
寿南山	Shou Nan Shan
瘦商人	Shou Shang Ren
瘦头陀	Shou Tou Tuo
术赤	Shu Chi
舒化龙	Shu Hua Long
书记	Shu Ji
书剑恩仇录	Shu Jian En Chou Lu
舒奇	Shu Qi
书生	Shu Sheng
书僮	Shu Tong
双儿	Shuang Er
水岱	Shui Dai
水福	Shui Fu
水鉴	Shui Jian
水笙	Shui Sheng
水云道人	Shui Yun Dao Ren
说不得	Shuo Bu De
司空玄	Si Kong Xuan
司马大	Si Ma Da
司马林	Si Ma Lin
司徒伯雷	Si Tu Bo Lei
司徒鹤	Si Tu He
司徒横	Si Tu Heng
司徒雷	Si Tu Lei
司徒千钟	Si Tu Qian Zhong
宋德方	Song De Fang
宋青书	Song Qing Shu
宋善朋	Song Shan Peng
宋天保	Song Tian Bao
宋五	Song Wu
宋献策	Song Xian Ce
宋远桥	Song Yuan Qiao
宋长老	Song Zhang Lao
苏菲亚	Su Fei Ya
苏冈	Su Gang
苏鲁克	Su Lu Ke
苏梦清	Su Meng Qing
苏普	Su Pu
苏荃	Su Quan
苏习之	Su Xi Zhi
苏星河	Su Xing He
苏辙	Su Zhe
酸儒文人	Suan Ru Wen Ren
孙不二	Sun Bu Er
孙大善	Sun Da Shan
孙伏虎	Sun Fu Hu
孙刚峰	Sun Gang Feng
孙均	Sun Jun
孙克通	Sun Ke Tong
孙老三	Sun Lao San
孙婆婆	Sun Po Po
孙三毁	Sun San Hui
孙思克	Sun Si Ke
孙万年	Sun Wan Nian
孙仲寿	Sun Zhong Shou
孙仲尹	Sun Zhong Yin
索额图	Suo E Tu
太皇太后	Tai Huang Tai Hou
太虚子	Tai Xu Zi
谭处端	Tan Chu Duan
谭迪人	Tan Di Ren
谭公	Tan Gong
谭婆	Tan Po
谭青	Tan Qing
覃天丞	Qin Tian Cheng | Tan Tian Cheng
谭文理	Tan Wen Li
唐光雄	Tang Guang Xiong
汤和	Tang He
唐六爷	Tang Liu Ye
汤沛	Tang Pei
汤若望	Tang Ruo Wang
唐文亮	Tang Wen Liang
唐洋	Tang Yang
汤祖德	Tang Zu De
陶百岁	Tao Bai Sui
桃干仙	Tao Gan Xian
桃根仙	Tao Gen Xian
桃红	Tao Hong
陶红英	Tao Hong Ying
桃花仙	Tao Hua Xian
陶钧	Tao Jun
陶师傅	Tao Shi Fu
桃实仙	Tao Shi Xian
桃叶仙	Tao Ye Xian
讨债鬼	Tao Zhai Gui
桃枝仙	Tao Zhi Xian
陶子安	Tao Zi An
腾一雷	Teng Yi Lei
田伯光	Tian Bo Guang
田归农	Tian Gui Nong
天虹禅师	Tian Hong Chan Shi
田见秀	Tian Jian Xiu
天镜	Tian Jing
天狼子	Tian Lang Zi
天龙八部	Tian Long Ba Bu
天门道人	Tian Men Dao Ren
天鸣方丈	Tian Ming Fang Zhang
田青文	Tian Qing Wen
天山童姥	Tian Shan Tong Lao
天松道人	Tian Song Dao Ren
天虚	Tian Xu
天乙道人	Tian Yi Dao Ren
天竺僧	Tian Zhu Seng
天竺僧人	Tian Zhu Seng Ren
铁匠	Tie Jiang
铁木真	Tie Mu Zhen
童百熊	Tong Bai Xiong
童大海	Tong Da Hai
佟国纲	Tong Guo Gang
童怀道	Tong Huai Dao
童兆和	Tong Zhao He
