阿保之劳	abaozhilao
百事亨通	baishihengtong
百事可乐	baishikele
百世流芳	baishiliufang
百世流芬	baishiliufen
百事无成	baishiwucheng
百世一人	baishiyiren
百世姻缘	baishiyinyuan
败事有余	baishiyouyu
百世之利	baishizhili
百世之师	baishizhishi
白首北面	baishoubeimian
白首不渝	baishoubuyu
白手成家	baishouchengjia
白首黄童	baishouhuangtong
白首空归	baishoukonggui
白手空拳	baishoukongquan
白手起家	baishouqijia
白首齐眉	baishouqimei
拜手稽首	baishouqishou
白首穷经	baishouqiongjing
白首如新	baishouruxin
百兽率舞	baishoushuaiwu
白首同归	baishoutonggui
白首为郎	baishouweilang
白首无成	baishouwucheng
白首相知	baishouxiangzhi
白首相庄	baishouxiangzhuang
白首偕老	baishouxielao
白手兴家	baishouxingjia
白首一节	baishouyijie
白首之心	baishouzhixin
白水鉴心	baishuijianxin
白水盟心	baishuimengxin
百顺百依	baishunbaiyi
百顺千随	baishunqiansui
白说绿道	baishuolvdao
百思不得	baisibude
百思不解	baisibujie
百思莫解	baisimojie
百死一生	baisiyisheng
百诵不厌	baisongbuyan
白叟黄童	baisouhuangtong
败俗伤风	baisushangfeng
败俗伤化	baisushanghua
百岁千秋	baisuiqianqiu
百岁之好	baisuizhihao
百岁之后	baisuizhihou
百岁之盟	baisuizhimeng
百岁之秋	baisuizhiqiu
百态横生	baitaihengsheng
百态千娇	baitaiqianjiao
白头不终	baitoubuzhong
白头到老	baitoudaolao
白头而新	baitouerxin
摆头撼脑	baitouhannao
白头如新	baitouruxin
白头相并	baitouxiangbing
白头相守	baitouxiangshou
白头偕老	baitouxielao
白头之叹	baitouzhitan
白兔赤乌	baituchiwu
败瓦颓垣	baiwatuiyuan
百万伏特	baiwanfute
百万买宅	baiwanmaizhai
百万雄兵	baiwanxiongbing
百万雄师	baiwanxiongshi
白往黑归	baiwangheigui
白往黑来	baiwangheilai
百痏千疮	baiweiqianchuang
摆尾摇头	baiweiyaotou
百问不烦	baiwenbufan
百问不厌	baiwenbuyan
白屋寒门	baiwuhanmen
百无禁忌	baiwujinji
百无聊赖	baiwuliaolai
百无是处	baiwushichu
百无所成	baiwusuocheng
百无所忌	baiwusuoji
百无一成	baiwuyicheng
百无一二	baiwuyier
百无一堪	baiwuyikan
百无一漏	baiwuyilou
百无一能	baiwuyineng
百无一是	baiwuyishi
百无一用	baiwuyiyong
白屋之士	baiwuzhishi
百下百全	baixiabaiquan
百下百着	baixiabaizhao
白苋紫茄	baixianziqie
白箱测试	baixiangceshi
百晓星君	baixiaoxingjun
败兴而归	baixingergui
摆袖却金	baixiuquejin
败絮其中	baixuqizhong
白雪皑皑	baixueaiai
白雪难和	baixuenanhe
白雪阳春	baixueyangchun
白眼狼王	baiyanlangwang
白眼相看	baiyanxiangkan
百样玲珑	baiyanglinglong
百样依顺	baiyangyishun
百业凋敝	baiyediaobi
败业倾家	baiyeqingjia
败也萧何	baiyexiaohe
百业萧条	baiyexiaotiao
百依百从	baiyibaicong
百依百顺	baiyibaishun
百依百随	baiyibaisui
百衣百随	baiyibaisui
白衣苍狗	baiyicanggou
百艺防身	baiyifangshen
白衣公卿	baiyigongqing
白衣卿相	baiyiqingxiang
白衣送酒	baiyisongjiu
白衣秀士	baiyixiushi
白衣宰相	baiyizaixiang
白蚁争穴	baiyizhengxue
白银矛柄	baiyinmaobing
白鱼赤乌	baiyuchiwu
败于垂成	baiyuchuicheng
白鱼登舟	baiyudengzhou
白玉青丝	baiyuqingsi
白鱼入舟	baiyuruzhou
败宇颓垣	baiyutuiyuan
白玉微瑕	baiyuweixia
