哀公	aigong
鼎录	dinglu
丁日昌	dingrichang
定山集	dingshanji
定是非	dingshifei
订误	dingwu
丁晏	dingyan
定宇集	dingyuji
订正	dingzheng
定之方中	dingzhifangzhong
东庵集	donganji
东城杂记	dongchengzaji
东都事略	dongdushilue
东法	dongfa
东方未明	dongfangweiming
东方之日	dongfangzhiri
东皋录	donggaolu
东皋子集	donggaoziji
东宫备览	donggongbeilan
冬官	dongguan
东观汉记	dongguanhanji
东观馀论	dongguanyulun
东观奏记	dongguanzouji
东汉会要	donghanhuiyao
东汉文纪	donghanwenji
东汉文鉴	donghanwenjian
东家杂记	dongjiazaji
东涧集	dongjianji
东江家藏集	dongjiangjiacangji
东京梦华录	dongjingmenghualu
董钧	dongjun
东里集	dongliji
东林列传	donglinliezhuan
洞麓堂集	donglutangji
东门云	dongmenyun
东门之墠	dongmenzhichan|dongmenzhishan
东门之池	dongmenzhichi
东门之枌	dongmenzhifen
东门之杨	dongmenzhiyang
洞冥记	dongmingji
东南纪闻	dongnanjiwen
东坡词	dongpoci
东坡年谱	dongponianpu
东坡易传	dongpoyizhuan
东坡志林	dongpozhilin
东浦词	dongpuci
东山	dongshan
东山存稿	dongshancungao
东山诗选	dongshanshixuan
动声仪	dongshengyi
东堂词	dongtangci
洞天清录	dongtianqinglu
东田遗稿	dongtianyigao
东维子集	dongweiziji
东西均	dongxijun
东溪日谈录	dongxiritanlu
东溪试茶录	dongxishichalu
东西洋考	dongxiyangkao
洞霄图志	dongxiaotuzhi
东轩笔录	dongxuanbilu
东岩集	dongyanji
东野农歌集	dongyenonggeji
东原	dongyuan
东园丛说	dongyuancongshuo
东原录	dongyuanlu
东园文集	dongyuanwenji
东斋记事	dongzhaijishi
动植志	dongzhizhi
董仲舒	dongzhongshu
东洲初稿	dongzhouchugao
董子	dongzi
董子春秋发微	dongzichunqiufawei
董子年表	dongzinianbiao
饾版	douban
都会郡县	douhuijunxian
斗南老人集	dounanlaorenji
都人士	dourenshi
窦氏联珠集	doushilianzhuji
斗威仪	douweiyi
都城纪胜	duchengjisheng
读春秋编	duchunqiubian
读春秋略记	duchunqiulueji
杜道坚	dudaojian
独断	duduan
读风偶识	dufengouzhi
杜抚	dufu
杜工部年谱	dugongbunianpu
杜工部诗年谱	dugongbushinianpu
读汉书后汉书杂志	duhanshuhouhanshuzazhi
读礼通考	dulitongkao
读礼志疑	dulizhiyi
杜林	dulin
读破	dupo
读如	duru
读若	duruo
