按察官	anchaguan
都辖	douxia
都辖房	douxiafang
都辖使臣	douxiashichen
都厢	douxiang
都厢官	douxiangguan
都总辖	douzongxia
都总辖房	douzongxiafang
都作院	douzuoyuan
都督州	duduzhou
督邮	duyou
贰博野	erboye
贰车	erche
贰令	erling
二千石	erqianshi
贰守事	ershoushi
二天	ertian
贰西都	erxidu
法曹	facao
法曹参军	facaocanjun
法掾	fayuan
藩臣	fanchen
藩垣	fanyuan
方伯	fangbo
防御判官	fangyupanguan
防御推官	fangyutuiguan
防御州	fangyuzhou
分野	fenye
府公	fugong
府教	fujiao
府幕	fumu
府判	fupan
府守	fushou
府司	fusi
府通判	futongpan
府推	futui
府推官	futuiguan
府学	fuxue
府尹	fuyin
纲掾	gangyuan
功曹	gongcao
功曹参军	gongcaocanjun
功德使	gongdeshi
观察判官	guanchapanguan
观察推官	guanchatuiguan
观察支使	guanchazhishi
观察州	guanchazhou
管勾庙事	guangoumiaoshi
管记	guanji
筦库	guanku
河南府	henanfu
红莲幕	honglianmu
户曹	hucao
户曹参军	hucaocanjun
户尉	huwei
户掾	huyuan
麾节	huijie
缉捕使臣	jibushichen
急脚递	jijiaodi
急脚递铺	jijiaodipu
急脚铺	jijiaopu
假侯	jiahou
假守	jiashou
监仓	jiancang
监茶	jiancha
监当官	jiandangguan
建麾	jianhui
监酒	jianjiu
监局	jianju
监郡	jianjun
监军资库	jianjunziku
监坑冶	jiankengye
监库务	jiankuwu
监粮料院	jianliangliaoyuan
监判官	jianpanguan
监使	jianshi
监税	jianshui
监学	jianxue
监盐	jianyan
监镇	jianzhen
监征	jianzheng
监州官	jianzhouguan
监作院	jianzuoyuan
教官	jiaoguan
教授	jiaoshou
教谕	jiaoyu
节度判官	jiedupanguan
节度推官	jiedutuiguan
节度州	jieduzhou
节判	jiepan
节推	jietui
节镇郡守	jiezhenjunshou
京城留守	jingchengliushou
京府首僚	jingfushouliao
京泮	jingpan
京推	jingtui
京庠	jingxiang
京庠典教	jingxiangdianjiao
京尹	jingyin
京兆	jingzhao
纠曹	jiucao
纠曹掾	jiucaoyuan
纠司	jiusi
厩置	jiuzhi
郡臣	junchen
郡丞	juncheng
郡倅	juncui
郡副	junfu
郡符	junfu
郡寄	junji
郡家	junjia
郡将	junjiang
军教授	junjiaoshou
军判官	junpanguan
军铺	junpu
军事判官	junshipanguan
军事推官	junshituiguan
军使知县	junshizhixian
军事州	junshizhou
军守	junshou
郡守	junshou
郡太守	juntaishou
军尉	junwei
郡庠	junxiang
军学	junxue
郡学	junxue
军巡	junxun
军巡判官	junxunpanguan
军巡院	junxunyuan
